Game,Players now,Peak Today
Counter-Strike: Global Offensive,"719,988","1,025,198"
Dota 2,"363,104","599,256"
Apex Legends,"104,396","214,613"
Path of Exile,"84,581","97,002"
Team Fortress 2,"81,380","97,215"
PLAYERUNKNOWN'S BATTLEGROUNDS,"81,315","377,525"
Rocket League,"81,291","84,473"
Rust,"72,761","83,830"
Grand Theft Auto V,"67,248","123,979"
Tom Clancy's Rainbow Six Siege,"60,841","91,171"
Valheim,"59,105","68,482"
Football Manager 2021,"56,858","67,271"
Destiny 2,"54,105","61,138"
The Binding of Isaac: Rebirth,"51,270","56,770"
ARK: Survival Evolved,"41,391","52,090"
